time,Vrain,Vgate,-IR1,IM1
2.442654196818179e-07,2.220843e+00,4.228009e+00,-3.426518e-02,3.221602e-01
2.462654196818172e-07,2.289881e+00,4.228217e+00,-3.419040e-02,3.221543e-01
2.492654196818161e-07,2.393321e+00,4.228481e+00,-3.408954e-02,3.221438e-01
2.522654196818151e-07,2.496696e+00,4.228692e+00,-3.400091e-02,3.221314e-01
2.552654196818140e-07,2.600095e+00,4.228855e+00,-3.392327e-02,3.221170e-01
2.582654196818130e-07,2.703615e+00,4.228974e+00,-3.385537e-02,3.221005e-01
2.612654196818119e-07,2.807365e+00,4.229054e+00,-3.379608e-02,3.220819e-01
2.642654196818109e-07,2.911467e+00,4.229097e+00,-3.374439e-02,3.220611e-01
2.672654196818098e-07,3.016064e+00,4.229105e+00,-3.369935e-02,3.220378e-01
2.702654196818088e-07,3.121320e+00,4.229082e+00,-3.366009e-02,3.220120e-01
2.732654196818078e-07,3.227435e+00,4.229028e+00,-3.362586e-02,3.219833e-01
2.762654196818067e-07,3.334645e+00,4.228944e+00,-3.359598e-02,3.219516e-01
2.792654196818057e-07,3.443235e+00,4.228829e+00,-3.356984e-02,3.219163e-01
2.822654196818046e-07,3.553554e+00,4.228684e+00,-3.354691e-02,3.218769e-01
2.852654196818036e-07,3.666024e+00,4.228506e+00,-3.352672e-02,3.218331e-01
2.882654196818025e-07,3.781163e+00,4.228292e+00,-3.350884e-02,3.217838e-01
2.912654196818015e-07,3.899603e+00,4.228039e+00,-3.349290e-02,3.217285e-01
2.942654196818004e-07,4.022111e+00,4.227742e+00,-3.347857e-02,3.216658e-01
2.972654196817994e-07,4.149608e+00,4.227395e+00,-3.346552e-02,3.215948e-01
3.002654196817983e-07,4.283180e+00,4.226993e+00,-3.345351e-02,3.215141e-01
3.032654196817973e-07,4.424070e+00,4.226531e+00,-3.344228e-02,3.214228e-01
3.062654196817963e-07,4.573620e+00,4.226007e+00,-3.343165e-02,3.213202e-01
3.092654196817952e-07,4.733165e+00,4.225425e+00,-3.342148e-02,3.212067e-01
3.122654196817942e-07,4.903877e+00,4.224795e+00,-3.341170e-02,3.210838e-01
3.152654196817931e-07,5.086617e+00,4.224132e+00,-3.340227e-02,3.209536e-01
3.182654196817921e-07,5.281840e+00,4.223452e+00,-3.339319e-02,3.208187e-01
3.212654196817910e-07,5.489577e+00,4.222769e+00,-3.338449e-02,3.206818e-01
3.234082768246474e-07,5.646191e+00,4.222285e+00,-3.337852e-02,3.205834e-01
3.255511339675038e-07,5.808090e+00,4.221811e+00,-3.337273e-02,3.204860e-01
3.276939911103602e-07,5.975276e+00,4.221348e+00,-3.336713e-02,3.203894e-01
3.298368482532166e-07,6.147749e+00,4.220896e+00,-3.336171e-02,3.202937e-01
3.319797053960730e-07,6.325507e+00,4.220454e+00,-3.335647e-02,3.201989e-01
3.341225625389294e-07,6.508552e+00,4.220022e+00,-3.335141e-02,3.201050e-01
3.362654196817858e-07,6.696884e+00,4.219601e+00,-3.334653e-02,3.200120e-01
3.414082768246411e-07,7.169853e+00,4.218651e+00,-3.333567e-02,3.197971e-01
3.465511339674965e-07,7.656614e+00,4.217719e+00,-3.332521e-02,3.195785e-01
3.516939911103518e-07,8.157169e+00,4.216804e+00,-3.331516e-02,3.193565e-01
3.568368482532072e-07,8.671517e+00,4.215908e+00,-3.330551e-02,3.191310e-01
3.619797053960626e-07,9.199657e+00,4.215029e+00,-3.329628e-02,3.189019e-01
3.671225625389179e-07,9.741590e+00,4.214168e+00,-3.328745e-02,3.186692e-01
3.722654196817733e-07,1.029732e+01,4.213325e+00,-3.327904e-02,3.184331e-01
3.796939911103421e-07,1.111002e+01,4.212080e+00,-3.326687e-02,3.180730e-01
3.871225625389110e-07,1.193159e+01,4.210823e+00,-3.325470e-02,3.176891e-01
3.945511339674798e-07,1.276202e+01,4.209553e+00,-3.324252e-02,3.172812e-01
4.019797053960486e-07,1.360133e+01,4.208269e+00,-3.323033e-02,3.168495e-01
4.094082768246175e-07,1.444949e+01,4.206973e+00,-3.321813e-02,3.163939e-01
4.168368482531863e-07,1.530653e+01,4.205663e+00,-3.320591e-02,3.159144e-01
4.242654196817551e-07,1.617242e+01,4.204340e+00,-3.319369e-02,3.154110e-01
4.396939911103212e-07,1.798551e+01,4.201539e+00,-3.316774e-02,3.142802e-01
4.551225625388873e-07,1.980835e+01,4.198694e+00,-3.314137e-02,3.130262e-01
4.705511339674533e-07,2.164096e+01,4.195803e+00,-3.311458e-02,3.116491e-01
4.859797053960194e-07,2.348333e+01,4.192869e+00,-3.308738e-02,3.101488e-01
5.014082768245854e-07,2.533546e+01,4.189889e+00,-3.305975e-02,3.085253e-01
5.168368482531515e-07,2.719735e+01,4.186865e+00,-3.303171e-02,3.067786e-01
5.322654196817175e-07,2.906900e+01,4.183797e+00,-3.300325e-02,3.049088e-01
5.429797053959995e-07,3.036851e+01,4.181650e+00,-3.298332e-02,3.035366e-01
5.536939911102815e-07,3.166931e+01,4.179481e+00,-3.296318e-02,3.020931e-01
5.644082768245635e-07,3.297139e+01,4.177288e+00,-3.294284e-02,3.005785e-01
5.751225625388454e-07,3.427474e+01,4.175073e+00,-3.292229e-02,2.989927e-01
5.858368482531274e-07,3.557938e+01,4.172835e+00,-3.290154e-02,2.973358e-01
5.965511339674095e-07,3.688530e+01,4.170575e+00,-3.288058e-02,2.956077e-01
6.072654196816914e-07,3.819249e+01,4.168291e+00,-3.285941e-02,2.938084e-01
6.135511339674034e-07,3.895950e+01,4.166939e+00,-3.284688e-02,2.927165e-01
6.198368482531156e-07,3.972665e+01,4.165569e+00,-3.283421e-02,2.915833e-01
6.261225625388276e-07,4.049394e+01,4.164182e+00,-3.282138e-02,2.904086e-01
6.324082768245398e-07,4.126136e+01,4.162776e+00,-3.280841e-02,2.891925e-01
6.386939911102519e-07,4.202892e+01,4.161353e+00,-3.279529e-02,2.879350e-01
6.449797053959640e-07,4.279663e+01,4.159912e+00,-3.278203e-02,2.866361e-01
6.512654196816761e-07,4.356446e+01,4.158454e+00,-3.276861e-02,2.852958e-01
6.549797053959605e-07,4.401819e+01,4.157581e+00,-3.276059e-02,2.844795e-01
6.586939911102449e-07,4.447189e+01,4.156688e+00,-3.275242e-02,2.836261e-01
6.624082768245294e-07,4.492558e+01,4.155777e+00,-3.274410e-02,2.827355e-01
6.661225625388137e-07,4.537924e+01,4.154845e+00,-3.273563e-02,2.818078e-01
6.698368482530982e-07,4.583289e+01,4.153895e+00,-3.272701e-02,2.808429e-01
6.735511339673826e-07,4.628651e+01,4.152925e+00,-3.271824e-02,2.798409e-01
6.772654196816670e-07,4.674011e+01,4.151936e+00,-3.270933e-02,2.788017e-01
6.794082768245234e-07,4.700178e+01,4.151352e+00,-3.270408e-02,2.781779e-01
6.815511339673798e-07,4.726340e+01,4.150746e+00,-3.269867e-02,2.775144e-01
6.836939911102362e-07,4.752496e+01,4.150117e+00,-3.269310e-02,2.768111e-01
6.858368482530926e-07,4.778649e+01,4.149466e+00,-3.268737e-02,2.760680e-01
6.879797053959490e-07,4.804796e+01,4.148793e+00,-3.268148e-02,2.752851e-01
6.901225625388054e-07,4.830939e+01,4.148098e+00,-3.267542e-02,2.744624e-01
6.922654196816618e-07,4.857076e+01,4.147380e+00,-3.266921e-02,2.736000e-01
6.952654196816607e-07,4.893649e+01,4.146286e+00,-3.265988e-02,2.722347e-01
6.972654196816600e-07,4.918017e+01,4.145492e+00,-3.265321e-02,2.712126e-01
6.992654196816593e-07,4.942371e+01,4.144629e+00,-3.264606e-02,2.700699e-01
7.002654196816590e-07,4.954540e+01,4.144165e+00,-3.264227e-02,2.694410e-01
7.012654196816586e-07,4.966705e+01,4.143673e+00,-3.263829e-02,2.687650e-01
7.022654196816583e-07,4.978862e+01,4.143150e+00,-3.263409e-02,2.680326e-01
7.032654196816579e-07,4.991010e+01,4.142585e+00,-3.262961e-02,2.672287e-01
7.042654196816576e-07,5.003146e+01,4.141954e+00,-3.262468e-02,2.663001e-01
7.052654196816572e-07,5.015232e+01,4.141070e+00,-3.261791e-02,2.648447e-01
7.062654196816569e-07,5.027049e+01,4.138762e+00,-3.260063e-02,2.603182e-01
7.071376088711789e-07,5.036574e+01,4.132610e+00,-3.255531e-02,2.478869e-01
7.077934520984064e-07,5.042539e+01,4.121606e+00,-3.247763e-02,2.278214e-01
7.085442179849730e-07,5.047786e+01,4.100565e+00,-3.233672e-02,1.943538e-01
7.092866949500266e-07,5.051646e+01,4.072660e+00,-3.215855e-02,1.573376e-01
7.102866949500262e-07,5.055448e+01,4.027657e+00,-3.187800e-02,1.103747e-01
7.112866949500259e-07,5.058266e+01,3.977515e+00,-3.156530e-02,7.273284e-02
7.122866949500255e-07,5.060357e+01,3.923727e+00,-3.122445e-02,4.698261e-02
7.132866949500252e-07,5.061947e+01,3.867656e+00,-3.086063e-02,3.181849e-02
7.142866949500248e-07,5.063186e+01,3.810268e+00,-3.047829e-02,2.404159e-02
7.152866949500245e-07,5.064180e+01,3.752262e+00,-3.008092e-02,2.044007e-02
7.162866949500241e-07,5.065000e+01,3.694120e+00,-2.967109e-02,1.880729e-02
7.172866949500238e-07,5.065694e+01,3.636161e+00,-2.925056e-02,1.798364e-02
7.182866949500235e-07,5.066293e+01,3.578594e+00,-2.882050e-02,1.746598e-02
7.192866949500231e-07,5.066819e+01,3.521564e+00,-2.838157e-02,1.706322e-02
7.202866949500228e-07,5.067286e+01,3.465174e+00,-2.793428e-02,1.670530e-02
7.212866949500224e-07,5.067706e+01,3.409498e+00,-2.748025e-02,1.636869e-02
